Herausgeber;Link;Kurzbeschreibung;Region;Letztes Update;Filter
LUBW - Landesanstalt für Umwelt Baden-Württemberg;https://www.lubw.baden-wuerttemberg.de/natur-und-landschaft/landesweite-artenkartierung-lak;Landesweite Artenkartierung (Verbreitungsgebiete oder -häufigkeiten auf Blattschnitteinteilung ausgewählter Tierarten);Baden-Wuerttemberg;2025-05-12T00:00:00Z;Baden-Wuerttemberg
LUBW - Landesanstalt für Umwelt Baden-Württemberg;https://www.lubw.baden-wuerttemberg.de/natur-und-landschaft/landesweite-artenkartierung-lak;Landesweite Artenkartierung (Verbreitungsgebiete oder -häufigkeiten auf Blattschnitteinteilung ausgewählter Tierarten);Baden-Wuerttemberg;2025-05-12T00:00:00Z;Physisch-Geographisch
LUBW - Landesanstalt für Umwelt Baden-Württemberg;https://www.lubw.baden-wuerttemberg.de/natur-und-landschaft/landesweite-artenkartierung-lak;Landesweite Artenkartierung (Verbreitungsgebiete oder -häufigkeiten auf Blattschnitteinteilung ausgewählter Tierarten);Baden-Wuerttemberg;2025-05-12T00:00:00Z;Flora-Fauna
LUBW - Landesanstalt für Umwelt Baden-Württemberg;https://www.lubw.baden-wuerttemberg.de/natur-und-landschaft/landesweite-artenkartierung-lak;Landesweite Artenkartierung (Verbreitungsgebiete oder -häufigkeiten auf Blattschnitteinteilung ausgewählter Tierarten);Baden-Wuerttemberg;2025-05-12T00:00:00Z;Umweltdaten
DWD - Deutscher Wetterdienst;https://opendata.dwd.de;Standarddatensätze zu Wetter, Witterung, Klima und Phänologie in Deutschland.;;2025-05-12T00:00:00Z;Physisch-Geographisch
DWD - Deutscher Wetterdienst;https://opendata.dwd.de;Standarddatensätze zu Wetter, Witterung, Klima und Phänologie in Deutschland.;;2025-05-12T00:00:00Z;Klima-Wetter
FITKO – Föderale IT-Kooperation;https://www.govdata.de;Das Datenportal für Deutschland. Open Government: Verwaltungsdaten transparent, offen und frei nutzbar. Hier gibt es offene Daten mit Bezug zu den jeweiligen Ländern oder dem Bund.;Deutschland;2025-05-12T00:00:00Z;Deutschland
FITKO – Föderale IT-Kooperation;https://www.govdata.de;Das Datenportal für Deutschland. Open Government: Verwaltungsdaten transparent, offen und frei nutzbar. Hier gibt es offene Daten mit Bezug zu den jeweiligen Ländern oder dem Bund.;Deutschland;2025-05-12T00:00:00Z;Humangeographisch
FITKO – Föderale IT-Kooperation;https://www.govdata.de;Das Datenportal für Deutschland. Open Government: Verwaltungsdaten transparent, offen und frei nutzbar. Hier gibt es offene Daten mit Bezug zu den jeweiligen Ländern oder dem Bund.;Deutschland;2025-05-12T00:00:00Z;Administrativ
FITKO – Föderale IT-Kooperation;https://www.govdata.de;Das Datenportal für Deutschland. Open Government: Verwaltungsdaten transparent, offen und frei nutzbar. Hier gibt es offene Daten mit Bezug zu den jeweiligen Ländern oder dem Bund.;Deutschland;2025-05-12T00:00:00Z;Wirtschaft
FITKO – Föderale IT-Kooperation;https://www.govdata.de;Das Datenportal für Deutschland. Open Government: Verwaltungsdaten transparent, offen und frei nutzbar. Hier gibt es offene Daten mit Bezug zu den jeweiligen Ländern oder dem Bund.;Deutschland;2025-05-12T00:00:00Z;Bevoelkerung
Zensus 2022 und 2011;https://atlas.zensus2022.de/;Demographische Daten auf 100x100m Gitter, Download als Tabelle unter „Open Data“ [+Join mit Gitter-Shapefile für Zuordnung;Deutschland;2025-05-12T00:00:00Z;Deutschland
Zensus 2022 und 2011;https://atlas.zensus2022.de/;Demographische Daten auf 100x100m Gitter, Download als Tabelle unter „Open Data“ [+Join mit Gitter-Shapefile für Zuordnung;Deutschland;2025-05-12T00:00:00Z;Humangeographisch
Zensus 2022 und 2011;https://atlas.zensus2022.de/;Demographische Daten auf 100x100m Gitter, Download als Tabelle unter „Open Data“ [+Join mit Gitter-Shapefile für Zuordnung;Deutschland;2025-05-12T00:00:00Z;Administrativ
Zensus 2022 und 2011;https://atlas.zensus2022.de/;Demographische Daten auf 100x100m Gitter, Download als Tabelle unter „Open Data“ [+Join mit Gitter-Shapefile für Zuordnung;Deutschland;2025-05-12T00:00:00Z;Wirtschaft
Zensus 2022 und 2011;https://atlas.zensus2022.de/;Demographische Daten auf 100x100m Gitter, Download als Tabelle unter „Open Data“ [+Join mit Gitter-Shapefile für Zuordnung;Deutschland;2025-05-12T00:00:00Z;Bevoelkerung
Ökosystematlas;https://oekosystematlas-ugr.destatis.de/;Der Ökosystematlas zeigt die Vielfalt und Verteilung der in Deutschland vorkommenden Ökosysteme. Dabei werden 72 verschie­dene Ökosystemklassen differenziert und deren Verteilung auf Gemeinde-, Kreis- und Bundesländerebene und für verschiedene Zeitschritte dargestellt. Zusätzlich bietet der Atlas Übersichtskarten im Rasterformat (Auflösung 100 Meter), Karten zu ausgewählten Zustandsindikatoren der Ökosysteme sowie eine Downloadfunktion für georeferenzierte Daten an.;Deutschland;2025-05-12T00:00:00Z;Deutschland
Ökosystematlas;https://oekosystematlas-ugr.destatis.de/;Der Ökosystematlas zeigt die Vielfalt und Verteilung der in Deutschland vorkommenden Ökosysteme. Dabei werden 72 verschie­dene Ökosystemklassen differenziert und deren Verteilung auf Gemeinde-, Kreis- und Bundesländerebene und für verschiedene Zeitschritte dargestellt. Zusätzlich bietet der Atlas Übersichtskarten im Rasterformat (Auflösung 100 Meter), Karten zu ausgewählten Zustandsindikatoren der Ökosysteme sowie eine Downloadfunktion für georeferenzierte Daten an.;Deutschland;2025-05-12T00:00:00Z;Physisch-Geographisch
Ökosystematlas;https://oekosystematlas-ugr.destatis.de/;Der Ökosystematlas zeigt die Vielfalt und Verteilung der in Deutschland vorkommenden Ökosysteme. Dabei werden 72 verschie­dene Ökosystemklassen differenziert und deren Verteilung auf Gemeinde-, Kreis- und Bundesländerebene und für verschiedene Zeitschritte dargestellt. Zusätzlich bietet der Atlas Übersichtskarten im Rasterformat (Auflösung 100 Meter), Karten zu ausgewählten Zustandsindikatoren der Ökosysteme sowie eine Downloadfunktion für georeferenzierte Daten an.;Deutschland;2025-05-12T00:00:00Z;Flora-Fauna
Ökosystematlas;https://oekosystematlas-ugr.destatis.de/;Der Ökosystematlas zeigt die Vielfalt und Verteilung der in Deutschland vorkommenden Ökosysteme. Dabei werden 72 verschie­dene Ökosystemklassen differenziert und deren Verteilung auf Gemeinde-, Kreis- und Bundesländerebene und für verschiedene Zeitschritte dargestellt. Zusätzlich bietet der Atlas Übersichtskarten im Rasterformat (Auflösung 100 Meter), Karten zu ausgewählten Zustandsindikatoren der Ökosysteme sowie eine Downloadfunktion für georeferenzierte Daten an.;Deutschland;2025-05-12T00:00:00Z;Umweltdaten
Unfallatlas;https://unfallatlas.statistikportal.de/;Sammlung polizeilich erfasster Unfalldaten mit Lagebezug und umfangreichen Attributdaten;Deutschland;2025-05-12T00:00:00Z;Deutschland
Unfallatlas;https://unfallatlas.statistikportal.de/;Sammlung polizeilich erfasster Unfalldaten mit Lagebezug und umfangreichen Attributdaten;Deutschland;2025-05-12T00:00:00Z;Humangeographisch
Unfallatlas;https://unfallatlas.statistikportal.de/;Sammlung polizeilich erfasster Unfalldaten mit Lagebezug und umfangreichen Attributdaten;Deutschland;2025-05-12T00:00:00Z;Administrativ
Unfallatlas;https://unfallatlas.statistikportal.de/;Sammlung polizeilich erfasster Unfalldaten mit Lagebezug und umfangreichen Attributdaten;Deutschland;2025-05-12T00:00:00Z;Staedte
Unfallatlas;https://unfallatlas.statistikportal.de/;Sammlung polizeilich erfasster Unfalldaten mit Lagebezug und umfangreichen Attributdaten;Deutschland;2025-05-12T00:00:00Z;Katastrophen
Copernicus Land Monitoring Service;https://land.copernicus.eu/en/dataset-catalog;The Copernicus Land Monitoring Service provides geographical information on land cover and its changes, land use, ground motions, vegetation state, water cycle and Earth's surface energy variables to a broad range of users in Europe and across the World in the field of environmental terrestrial applications.;Europa;2025-05-12T00:00:00Z;Europa
Copernicus Land Monitoring Service;https://land.copernicus.eu/en/dataset-catalog;The Copernicus Land Monitoring Service provides geographical information on land cover and its changes, land use, ground motions, vegetation state, water cycle and Earth's surface energy variables to a broad range of users in Europe and across the World in the field of environmental terrestrial applications.;Europa;2025-05-12T00:00:00Z;Physisch-Geographisch
Copernicus Land Monitoring Service;https://land.copernicus.eu/en/dataset-catalog;The Copernicus Land Monitoring Service provides geographical information on land cover and its changes, land use, ground motions, vegetation state, water cycle and Earth's surface energy variables to a broad range of users in Europe and across the World in the field of environmental terrestrial applications.;Europa;2025-05-12T00:00:00Z;Landbedeckung
Copernicus Urban Atlas;https://land.copernicus.eu/en/products/urban-atlas;Sammlung verschiedenster Daten im städtischen Kontext (Gebäudehöhen, Straßenbäume, etc.);Europa;2025-05-12T00:00:00Z;Europa
Copernicus Urban Atlas;https://land.copernicus.eu/en/products/urban-atlas;Sammlung verschiedenster Daten im städtischen Kontext (Gebäudehöhen, Straßenbäume, etc.);Europa;2025-05-12T00:00:00Z;Humangeographisch
Copernicus Urban Atlas;https://land.copernicus.eu/en/products/urban-atlas;Sammlung verschiedenster Daten im städtischen Kontext (Gebäudehöhen, Straßenbäume, etc.);Europa;2025-05-12T00:00:00Z;Staedte
Copernicus Emergency Monitoring Service;https://emergency.copernicus.eu;Schadenskartierung  z.B. der Hochwasserausdehnung vergangener Katatstrophen;Europa;2025-05-12T00:00:00Z;Europa
Copernicus Emergency Monitoring Service;https://emergency.copernicus.eu;Schadenskartierung  z.B. der Hochwasserausdehnung vergangener Katatstrophen;Europa;2025-05-12T00:00:00Z;Physisch-Geographisch
Copernicus Emergency Monitoring Service;https://emergency.copernicus.eu;Schadenskartierung  z.B. der Hochwasserausdehnung vergangener Katatstrophen;Europa;2025-05-12T00:00:00Z;Katastrophen
Copernicus Emergency Monitoring Service;https://emergency.copernicus.eu;Schadenskartierung  z.B. der Hochwasserausdehnung vergangener Katatstrophen;Europa;2025-05-12T00:00:00Z;Hydrologie
Copernicus Marine Service;https://marine.copernicus.eu/;It provides free, regular and systematic authoritative information on the state of the Blue (physical), White (sea ice) and Green (biogeochemical) ocean,  on a global and regional scale.;Europa;2025-05-12T00:00:00Z;Europa
Copernicus Marine Service;https://marine.copernicus.eu/;It provides free, regular and systematic authoritative information on the state of the Blue (physical), White (sea ice) and Green (biogeochemical) ocean,  on a global and regional scale.;Europa;2025-05-12T00:00:00Z;Physisch-Geographisch
Copernicus Marine Service;https://marine.copernicus.eu/;It provides free, regular and systematic authoritative information on the state of the Blue (physical), White (sea ice) and Green (biogeochemical) ocean,  on a global and regional scale.;Europa;2025-05-12T00:00:00Z;Maritim
Copernicus Marine Service;https://marine.copernicus.eu/;It provides free, regular and systematic authoritative information on the state of the Blue (physical), White (sea ice) and Green (biogeochemical) ocean,  on a global and regional scale.;Europa;2025-05-12T00:00:00Z;Hydrologie
ESA S2GLC;https://s2glc.cbk.waw.pl/extension;Europaweit einheitliche Landnutzungskartierung [14 Klassen] aus Sentinel-Daten in einer Auflösung von 10 m für das Jahr 2017;Europa;2025-05-12T00:00:00Z;Europa
ESA S2GLC;https://s2glc.cbk.waw.pl/extension;Europaweit einheitliche Landnutzungskartierung [14 Klassen] aus Sentinel-Daten in einer Auflösung von 10 m für das Jahr 2017;Europa;2025-05-12T00:00:00Z;Physisch-Geographisch
ESA S2GLC;https://s2glc.cbk.waw.pl/extension;Europaweit einheitliche Landnutzungskartierung [14 Klassen] aus Sentinel-Daten in einer Auflösung von 10 m für das Jahr 2017;Europa;2025-05-12T00:00:00Z;Landbedeckung
Natural Earth Data;https://www.naturalearthdata.com/downloads/;Hauptsächlich topographische Informationen wie Landesgrenzen, Küsten, etc.;Global;2025-05-12T00:00:00Z;Global
Natural Earth Data;https://www.naturalearthdata.com/downloads/;Hauptsächlich topographische Informationen wie Landesgrenzen, Küsten, etc.;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
Natural Earth Data;https://www.naturalearthdata.com/downloads/;Hauptsächlich topographische Informationen wie Landesgrenzen, Küsten, etc.;Global;2025-05-12T00:00:00Z;Humangeographisch
Natural Earth Data;https://www.naturalearthdata.com/downloads/;Hauptsächlich topographische Informationen wie Landesgrenzen, Küsten, etc.;Global;2025-05-12T00:00:00Z;Administrativ
Natural Earth Data;https://www.naturalearthdata.com/downloads/;Hauptsächlich topographische Informationen wie Landesgrenzen, Küsten, etc.;Global;2025-05-12T00:00:00Z;Maritim
ArcGIS Hub;https://hub.arcgis.com/search;Verschiedenste von Esri zu Verfügung gestellte Daten;Global;2025-05-12T00:00:00Z;Global
ArcGIS Hub;https://hub.arcgis.com/search;Verschiedenste von Esri zu Verfügung gestellte Daten;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
ArcGIS Hub;https://hub.arcgis.com/search;Verschiedenste von Esri zu Verfügung gestellte Daten;Global;2025-05-12T00:00:00Z;Humangeographisch
ArcGIS Hub;https://hub.arcgis.com/search;Verschiedenste von Esri zu Verfügung gestellte Daten;Global;2025-05-12T00:00:00Z;Sonstige
ArcGIS Hub;https://hub.arcgis.com/search;Verschiedenste von Esri zu Verfügung gestellte Daten;Global;2025-05-12T00:00:00Z;Staedte
ArcGIS Hub;https://hub.arcgis.com/search;Verschiedenste von Esri zu Verfügung gestellte Daten;Global;2025-05-12T00:00:00Z;Katastrophen
ArcGIS Hub;https://hub.arcgis.com/search;Verschiedenste von Esri zu Verfügung gestellte Daten;Global;2025-05-12T00:00:00Z;Wirtschaft
ArcGIS Hub;https://hub.arcgis.com/search;Verschiedenste von Esri zu Verfügung gestellte Daten;Global;2025-05-12T00:00:00Z;Umweltdaten
WIR - World Resources Institute (Global Forest Watch);https://data.globalforestwatch.org;Aktuelle Daten aus dem globalen Waldmonitoring;Global;2025-05-12T00:00:00Z;Global
WIR - World Resources Institute (Global Forest Watch);https://data.globalforestwatch.org;Aktuelle Daten aus dem globalen Waldmonitoring;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
WIR - World Resources Institute (Global Forest Watch);https://data.globalforestwatch.org;Aktuelle Daten aus dem globalen Waldmonitoring;Global;2025-05-12T00:00:00Z;Flora-Fauna
WIR - World Resources Institute (Global Forest Watch);https://data.globalforestwatch.org;Aktuelle Daten aus dem globalen Waldmonitoring;Global;2025-05-12T00:00:00Z;Umweltdaten
ESA WorldCover;https://viewer.esa-worldcover.org/worldcover/;Globale Landnutzungsdaten aus Sentinel-2 Daten in 10m Auflösung [11 Klassen];Global;2025-05-12T00:00:00Z;Global
ESA WorldCover;https://viewer.esa-worldcover.org/worldcover/;Globale Landnutzungsdaten aus Sentinel-2 Daten in 10m Auflösung [11 Klassen];Global;2025-05-12T00:00:00Z;Physisch-Geographisch
ESA WorldCover;https://viewer.esa-worldcover.org/worldcover/;Globale Landnutzungsdaten aus Sentinel-2 Daten in 10m Auflösung [11 Klassen];Global;2025-05-12T00:00:00Z;Landbedeckung
GeoFabrik (OpenStreetMap);http://download.geofabrik.de/index.html;Zugang zu den Open Street Map – Daten, gegliedert nach administrativen Grenzen, z.B. Regierungsbezirk Tübingen;Global;2025-05-12T00:00:00Z;Global
GeoFabrik (OpenStreetMap);http://download.geofabrik.de/index.html;Zugang zu den Open Street Map – Daten, gegliedert nach administrativen Grenzen, z.B. Regierungsbezirk Tübingen;Global;2025-05-12T00:00:00Z;Humangeographisch
GeoFabrik (OpenStreetMap);http://download.geofabrik.de/index.html;Zugang zu den Open Street Map – Daten, gegliedert nach administrativen Grenzen, z.B. Regierungsbezirk Tübingen;Global;2025-05-12T00:00:00Z;Administrativ
GeoFabrik (OpenStreetMap);http://download.geofabrik.de/index.html;Zugang zu den Open Street Map – Daten, gegliedert nach administrativen Grenzen, z.B. Regierungsbezirk Tübingen;Global;2025-05-12T00:00:00Z;Staedte
GeoFabrik (OpenStreetMap);http://download.geofabrik.de/index.html;Zugang zu den Open Street Map – Daten, gegliedert nach administrativen Grenzen, z.B. Regierungsbezirk Tübingen;Global;2025-05-12T00:00:00Z;Landnutzung
GeoFabrik (OpenStreetMap);http://download.geofabrik.de/index.html;Zugang zu den Open Street Map – Daten, gegliedert nach administrativen Grenzen, z.B. Regierungsbezirk Tübingen;Global;2025-05-12T00:00:00Z;Wirtschaft
Microsoft Building Footprints;https://github.com/microsoft/GlobalMLBuildingFootprints;Bing Maps is releasing open building footprints around the world. We have detected 1.4B buildings from Bing Maps imagery between 2014 and 2024 including Maxar, Airbus, and IGN France imagery. The data is freely available for download and use under ODbL.;Global;2025-05-12T00:00:00Z;Global
Microsoft Building Footprints;https://github.com/microsoft/GlobalMLBuildingFootprints;Bing Maps is releasing open building footprints around the world. We have detected 1.4B buildings from Bing Maps imagery between 2014 and 2024 including Maxar, Airbus, and IGN France imagery. The data is freely available for download and use under ODbL.;Global;2025-05-12T00:00:00Z;Humangeographisch
Microsoft Building Footprints;https://github.com/microsoft/GlobalMLBuildingFootprints;Bing Maps is releasing open building footprints around the world. We have detected 1.4B buildings from Bing Maps imagery between 2014 and 2024 including Maxar, Airbus, and IGN France imagery. The data is freely available for download and use under ODbL.;Global;2025-05-12T00:00:00Z;Staedte
Microsoft Building Footprints;https://github.com/microsoft/GlobalMLBuildingFootprints;Bing Maps is releasing open building footprints around the world. We have detected 1.4B buildings from Bing Maps imagery between 2014 and 2024 including Maxar, Airbus, and IGN France imagery. The data is freely available for download and use under ODbL.;Global;2025-05-12T00:00:00Z;Landnutzung
Google Open Buildings;https://sites.research.google/open-buildings/;This large-scale open dataset contains the outlines of buildings derived from high-resolution satellite imagery in order to support these types of uses. The project is based in Google's Ghana office, focusing on the continent of Africa and the Global South at large.;Afrika;2025-05-12T00:00:00Z;Afrika
Google Open Buildings;https://sites.research.google/open-buildings/;This large-scale open dataset contains the outlines of buildings derived from high-resolution satellite imagery in order to support these types of uses. The project is based in Google's Ghana office, focusing on the continent of Africa and the Global South at large.;Afrika;2025-05-12T00:00:00Z;Humangeographisch
Google Open Buildings;https://sites.research.google/open-buildings/;This large-scale open dataset contains the outlines of buildings derived from high-resolution satellite imagery in order to support these types of uses. The project is based in Google's Ghana office, focusing on the continent of Africa and the Global South at large.;Afrika;2025-05-12T00:00:00Z;Staedte
Google Open Buildings;https://sites.research.google/open-buildings/;This large-scale open dataset contains the outlines of buildings derived from high-resolution satellite imagery in order to support these types of uses. The project is based in Google's Ghana office, focusing on the continent of Africa and the Global South at large.;Afrika;2025-05-12T00:00:00Z;Landnutzung
WorldClim;https://www.worldclim.org;Globale Klimadaten;Global;2025-05-12T00:00:00Z;Global
WorldClim;https://www.worldclim.org;Globale Klimadaten;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
WorldClim;https://www.worldclim.org;Globale Klimadaten;Global;2025-05-12T00:00:00Z;Klima-Wetter
Copernicus Climate Data Store;https://cds.climate.copernicus.eu/datasets;Unterschiedlichste Datensätze zum globalen Klima. Von tagesgenauen Niederschlagswerten seit 1950, bis hin zur Entwicklung der Eisfläche an den Polen.;Global;2025-05-12T00:00:00Z;Global
Copernicus Climate Data Store;https://cds.climate.copernicus.eu/datasets;Unterschiedlichste Datensätze zum globalen Klima. Von tagesgenauen Niederschlagswerten seit 1950, bis hin zur Entwicklung der Eisfläche an den Polen.;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
Copernicus Climate Data Store;https://cds.climate.copernicus.eu/datasets;Unterschiedlichste Datensätze zum globalen Klima. Von tagesgenauen Niederschlagswerten seit 1950, bis hin zur Entwicklung der Eisfläche an den Polen.;Global;2025-05-12T00:00:00Z;Klima-Wetter
Copernicus Climate Data Store;https://cds.climate.copernicus.eu/datasets;Unterschiedlichste Datensätze zum globalen Klima. Von tagesgenauen Niederschlagswerten seit 1950, bis hin zur Entwicklung der Eisfläche an den Polen.;Global;2025-05-12T00:00:00Z;Hydrologie
ECMWF real-time forecast data;https://www.ecmwf.int/en/forecasts/datasets/open-data;Echtzeit-Vorhersagen für das globale Wettergeschehen.;Global;2025-05-12T00:00:00Z;Global
ECMWF real-time forecast data;https://www.ecmwf.int/en/forecasts/datasets/open-data;Echtzeit-Vorhersagen für das globale Wettergeschehen.;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
ECMWF real-time forecast data;https://www.ecmwf.int/en/forecasts/datasets/open-data;Echtzeit-Vorhersagen für das globale Wettergeschehen.;Global;2025-05-12T00:00:00Z;Klima-Wetter
SoildGrids;https://soilgrids.org;Globale verfügbare Bodeninformationen in 250m räumlicher Auflösung.;Global;2025-05-12T00:00:00Z;Global
SoildGrids;https://soilgrids.org;Globale verfügbare Bodeninformationen in 250m räumlicher Auflösung.;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
SoildGrids;https://soilgrids.org;Globale verfügbare Bodeninformationen in 250m räumlicher Auflösung.;Global;2025-05-12T00:00:00Z;Geologie-Boden
JAXA Global Rainfall;https://sharaku.eorc.jaxa.jp/GSMaP/;Modellierte Niederschlagsmengen für beliebige Orte/Zeiträume;Global;2025-05-12T00:00:00Z;Global
JAXA Global Rainfall;https://sharaku.eorc.jaxa.jp/GSMaP/;Modellierte Niederschlagsmengen für beliebige Orte/Zeiträume;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
JAXA Global Rainfall;https://sharaku.eorc.jaxa.jp/GSMaP/;Modellierte Niederschlagsmengen für beliebige Orte/Zeiträume;Global;2025-05-12T00:00:00Z;Klima-Wetter
Global Forest Canopy Height;https://glad.umd.edu/dataset/gedi;Abschätzung der Kronenhöhe von Wäldern im globalen Maßstab (30m);Global;2025-05-12T00:00:00Z;Global
Global Forest Canopy Height;https://glad.umd.edu/dataset/gedi;Abschätzung der Kronenhöhe von Wäldern im globalen Maßstab (30m);Global;2025-05-12T00:00:00Z;Physisch-Geographisch
Global Forest Canopy Height;https://glad.umd.edu/dataset/gedi;Abschätzung der Kronenhöhe von Wäldern im globalen Maßstab (30m);Global;2025-05-12T00:00:00Z;Flora-Fauna
Global Forest Canopy Height;https://glad.umd.edu/dataset/gedi;Abschätzung der Kronenhöhe von Wäldern im globalen Maßstab (30m);Global;2025-05-12T00:00:00Z;Umweltdaten
EOG Nighttime data;https://eogdata.mines.edu/products/vnl/;Monthly and annual cloud-free nighttime data.;Global;2025-05-12T00:00:00Z;Global
EOG Nighttime data;https://eogdata.mines.edu/products/vnl/;Monthly and annual cloud-free nighttime data.;Global;2025-05-12T00:00:00Z;Physisch-Geographisch
EOG Nighttime data;https://eogdata.mines.edu/products/vnl/;Monthly and annual cloud-free nighttime data.;Global;2025-05-12T00:00:00Z;Humangeographisch
EOG Nighttime data;https://eogdata.mines.edu/products/vnl/;Monthly and annual cloud-free nighttime data.;Global;2025-05-12T00:00:00Z;Fernerkundung
EOG Nighttime data;https://eogdata.mines.edu/products/vnl/;Monthly and annual cloud-free nighttime data.;Global;2025-05-12T00:00:00Z;Staedte
GHSL - Global Human Settlement Layer;https://ghsl.jrc.ec.europa.eu/index.php;Open and free data and tools for assessing the human presence on the planet. The data range goes from global coverage datasets (e.g. the GHSL Data Package 2023) to pan-European built-up layers (the European Settlement Map) to analytical data (e.g.: the Urban Centre Database).;Global;2025-05-12T00:00:00Z;Global
GHSL - Global Human Settlement Layer;https://ghsl.jrc.ec.europa.eu/index.php;Open and free data and tools for assessing the human presence on the planet. The data range goes from global coverage datasets (e.g. the GHSL Data Package 2023) to pan-European built-up layers (the European Settlement Map) to analytical data (e.g.: the Urban Centre Database).;Global;2025-05-12T00:00:00Z;Humangeographisch
GHSL - Global Human Settlement Layer;https://ghsl.jrc.ec.europa.eu/index.php;Open and free data and tools for assessing the human presence on the planet. The data range goes from global coverage datasets (e.g. the GHSL Data Package 2023) to pan-European built-up layers (the European Settlement Map) to analytical data (e.g.: the Urban Centre Database).;Global;2025-05-12T00:00:00Z;Wirtschaft
GHSL - Global Human Settlement Layer;https://ghsl.jrc.ec.europa.eu/index.php;Open and free data and tools for assessing the human presence on the planet. The data range goes from global coverage datasets (e.g. the GHSL Data Package 2023) to pan-European built-up layers (the European Settlement Map) to analytical data (e.g.: the Urban Centre Database).;Global;2025-05-12T00:00:00Z;Staedte
